"Record ID","Survey Identifier","Survey Timestamp","Participant classification","Please enter your classification","Main department","Please write down your main department",Gender,Race/Ethnicity,"Please enter your ethnicity","What type of computer user are you?","My primary computer is a","What year was your computer purchased?","What is the size of your computer screen?","The screen size of your computer","Do you have a warranty on your computer?","Warranty on your computer","Do you have a webcam?","How would you rate your computer?","What model is your computer?","Computer model","Computer ownership","Computer ownership","What is the operating system that you use?","Operating system","Operating system version","Operating system version","Computer processor","Please write your computer processor","Computer memory size (RAM)","Computer hard disk","Current size of your data in the computer's hard disk","Do you backup the data from your computer?","What backup method do you use?","Brand of external back-up disk","Please write down the brand of external back-up disk","Brand of cloud","Please write down the brand of your cloud back-up","Backup frequency","Have you set up automatic backups?","Have you experienced a catastrophic loss of data in the last three years?","Are you familiar with the UH Microsoft 365 OneDrive for automated, incremental backups?","Do you have a secondary computer device?","Is it synced with your primary computer device?","Do you have a smartphone?","Smartphone brand","Please write down the name of your smartphone","Smartphone model","Please write down the model of your smartphone","Do you have a smartwatch?","Smartwatch brand","Please write down the name of your smartwatch","Smartwatch model","Please write down the model of your smartwatch","What is your preferred course delivery format for courses in the Fall 2020 semester?","How confident do you feel installing and configuring software (docker containers, VPN, backup software, and others) by yourself on your computer?","Speed of your home Internet","Given your online course experience from Spring 2020, how reliable has your Internet connectivity been overall?","If you were provided adequate IT support to setup your primary computers with needed coursework software, how likely would you use the on campus Computer Labs in a future semester?","Would it be beneficial for IT personnel to have office hours (like a help desk) to assist you with with course-related software issues, general computer systems issues, and other related challenges?",Complete?
134,,"2020-06-22 12:23:13",Senior,,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2018,14'',,"1 year",,"Built-in to my computer",Average,"Lenovo ThinkPad",,Own,,"Windows OS",,"Windows 10 Pro",,Other,"Intel core i3 7th gen ","16 GB","256 GB","100 GB - 500 GB",Yes,Cloud,,,"Microsoft OneDrive",,Weekly,No,No,No,No,,Yes,iPhone,,"iPhone X Series",,No,,,,,"Fully Online","Somewhat confident","300 - 500 Mbps",Good,"Somewhat unlikely",Yes,Complete
135,,"2020-06-22 12:23:24",Junior,,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2018,14'',,No,,"Built-in to my computer",Good,"Apple Macbook Pro",,Own,,"Mac OS",,"High Sierra",,"Intel Core i7",,"16 GB","128 GB","< 100 GB",No,,,,,,,,Yes,No,No,,Yes,iPhone,,"iPhone X Series",,Yes,"Apple Watch",,"Apple Watch 3",,Hybrid/Blended,"Not confident","100 - 300 Mbps",Average,"Very unlikely",Yes,Complete
136,,"2020-06-22 12:21:00",Senior,,"Computer Science",,Male,Hispanic,,"Power User [... plus programming/analytics]",Laptop,2016,13'',,No,,"Built-in to my computer",Good,"Apple Macbook Pro",,Own,,"Mac OS",,Mojave,,"Intel Core i5",,"8 GB","512 GB","100 GB - 500 GB",No,,,,,,,,No,No,No,,Yes,iPhone,,Other,"Iphone 7",No,,,,,Face-to-Face,"Very confident","300 - 500 Mbps",Good,"Somewhat likely",Yes,Complete
137,,"2020-06-22 12:22:17",Senior,,Mathematics,,Male,White,,"Power User [... plus programming/analytics]",Desktop,2016,Other,27,No,,No,Good,Other,Custom,Own,,"Windows OS",,"Windows 10 Home",,"AMD Ryzen",,"16 GB","512 GB","100 GB - 500 GB",Yes,"External backup disk",Samsung,,,,Monthly,No,No,Yes,Yes,Yes,Yes,iPhone,,"iPhone X Series",,No,,,,,"Fully Online","Moderately confident","100 - 300 Mbps",Good,"Very unlikely",Maybe,Complete
138,,"2020-06-22 12:20:02",Freshman,,"Biology and Biochemistry",,Male,"Asian American",,"Standard User [document writing/email/web]",Laptop,2020,13'',,No,,"Built-in to my computer",Excellent,"Microsoft Surface",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"16 GB","256 GB","100 GB - 500 GB",No,,,,,,,,No,Yes,No,,Yes,Samsung,,"Samsung Galaxy",,No,,,,,Face-to-Face,Neutral,"100 - 300 Mbps",Average,"Somewhat unlikely",Maybe,Complete
139,,"[not completed]",Junior,,"Computer Science",,Male,"African American",,"Standard User [document writing/email/web]",Laptop,2017,13'',,No,,External,Fair,"Lenovo Yoga",,Own,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
140,,"[not completed]","Doctoral Student (PhD)",,Mathematics,,Male,Hispanic,,"Power User [... plus programming/analytics]",Laptop,2014,14'',,No,,"Built-in to my computer",Average,"Dell Latitude 7000",,Own,,"Windows OS",,"Windows 10 Home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
141,,"2020-06-22 12:21:10",Senior,,"Computer Science",,Female,"Asian American",,"Power User [... plus programming/analytics]",Laptop,2019,17'',,No,,"Built-in to my computer",Good,Other,"Dell G3",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"8 GB","1 TB","500 GB - 1 TB",No,,,,,,,,No,No,No,,Yes,Samsung,,"Samsung Galaxy",,No,,,,,"Fully Online","Very confident","100 - 300 Mbps",Average,"Somewhat likely",Maybe,Complete
142,,"[not completed]",Senior,,"Computer Science",,"Prefer Not to Say","Prefer Not to Say",,"Power User [... plus programming/analytics]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
143,,"2020-06-22 12:29:13",Freshman,,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2020,Other,"11.6""",No,,"Built-in to my computer",Excellent,Other,"HP ProBook x360 11 G3 EE",Own,,"Windows OS",,"Windows 10 Pro",,Other,"Intel N5000","4 GB","128 GB","< 100 GB",No,,,,,,,,No,Yes,Yes,No,Yes,iPhone,,Other,"iPhone 7",No,,,,,Hybrid/Blended,"Moderately confident","300 - 500 Mbps",Good,"Very likely",Yes,Complete
144,,"2020-06-22 12:22:23","Doctoral Student (PhD)",,"Earth and Atmospheric Sciences",,Male,White,,"Power User [... plus programming/analytics]",Laptop,2015,17'',,No,,"Built-in to my computer",Good,Other,"MSI Apache Pro",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"16 GB","1 TB","500 GB - 1 TB",Yes,"External backup disk",Seagate,,,,Monthly,No,Yes,No,No,,Yes,Google,,Other,Pixel,No,,,,,"Fully Online","Very confident","> 500 Mbps",Excellent,"Very unlikely",Maybe,Complete
145,,"2020-06-22 12:27:54",Senior,,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2017,13'',,No,,"Built-in to my computer",Good,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,"Intel Core i5",,"8 GB","128 GB","< 100 GB",Yes,Cloud,,,"Apple iCloud",,Other,Yes,No,No,Yes,Yes,Yes,iPhone,,"iPhone X Series",,No,,,,,Face-to-Face,Neutral,"< 100 Mbps",Good,"Neither likely nor unlikely",Maybe,Complete
146,,"2020-06-22 12:32:08","Doctoral Student (PhD)",,"Biology and Biochemistry",,Female,Other,Asian,"Standard User [document writing/email/web]",Laptop,2019,15'',,"1 year",,"Built-in to my computer",Good,"Dell Inspiron 7000",,"University property",,"Windows OS",,"Windows 10 Pro",,"Intel Core i7",,"16 GB","256 GB","< 100 GB",Yes,"External backup disk",WD,,,,Other,Yes,No,No,Yes,No,Yes,iPhone,,"iPhone 8",,No,,,,,Hybrid/Blended,Neutral,"< 100 Mbps",Excellent,"Very unlikely",Yes,Complete
147,,"2020-06-22 12:24:11",Staff,,Mathematics,,Female,"Prefer Not to Say",,"Standard User [document writing/email/web]",Laptop,2016,15'',,No,,"Built-in to my computer",Excellent,"Apple Macbook Pro",,"University property",,"Mac OS",,Mojave,,"Intel Core i7",,"> 32 GB","512 GB","100 GB - 500 GB",Yes,Cloud,,,"Apple iCloud",,Other,Yes,No,Yes,Yes,Yes,Yes,iPhone,,"iPhone 11",,Yes,Fitbit,,Other,"Fibit Blaze","Fully Online","Moderately confident","100 - 300 Mbps",Fair,,,Complete
148,,"[not completed]",Freshman,,"Biology and Biochemistry",,"Prefer Not to Say","Asian American",,"Standard User [document writing/email/web]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
149,,"2020-06-22 12:23:45",Senior,,"Computer Science",,Male,"African American",,"Power User [... plus programming/analytics]",Laptop,2017,13'',,No,,"Built-in to my computer",Good,"Apple Macbook Air",,Own,,"Mac OS",,Catalina,,"Intel Core i5",,"8 GB","128 GB","100 GB - 500 GB",No,,,,,,,,No,No,No,,Yes,iPhone,,"iPhone X Series",,Yes,"Apple Watch",,Other,"Apple Watch 1",Hybrid/Blended,"Moderately confident","300 - 500 Mbps",Average,"Neither likely nor unlikely",Yes,Complete
150,,"2020-06-22 12:24:36",Sophomore,,"Computer Science",,Male,"Asian American",,"Power User [... plus programming/analytics]",Laptop,2018,15'',,No,,"Built-in to my computer",Good,"Lenovo ThinkPad",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"8 GB","128 GB","< 100 GB",Yes,Cloud,,,"Microsoft OneDrive",,Weekly,Yes,No,Yes,No,,Yes,iPhone,,"iPhone X Series",,No,,,,,Hybrid/Blended,Neutral,"100 - 300 Mbps",Good,"Somewhat likely",Yes,Complete
151,,"2020-06-22 12:23:43","Post-Baccalaureate (second degree)",,"Computer Science",,Male,White,,"Power User [... plus programming/analytics]",Laptop,2019,15'',,"1 year",,"Built-in to my computer",Good,Other,"Dell XPS15",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"16 GB","512 GB","100 GB - 500 GB",Yes,Cloud,,,"Microsoft OneDrive",,Daily,Yes,No,Yes,No,,Yes,iPhone,,"iPhone 11",,No,,,,,Hybrid/Blended,"Very confident","300 - 500 Mbps",Good,"Very unlikely",Maybe,Complete
152,,"2020-06-22 12:24:45",Sophomore,,"Biology and Biochemistry",,Male,White,,"Standard User [document writing/email/web]",Laptop,2019,15'',,"1 year",,"Built-in to my computer",Excellent,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,"Intel Core i7",,"16 GB","512 GB","100 GB - 500 GB",Yes,Cloud,,,"Microsoft OneDrive",,Daily,Yes,No,Yes,Yes,Yes,Yes,iPhone,,"iPhone X Series",,Yes,"Apple Watch",,"Apple Watch 3",,Hybrid/Blended,"Very confident","> 500 Mbps",Excellent,"Somewhat unlikely",Yes,Complete
153,,"2020-06-22 12:44:32","Masters Student (MS)",,"Computer Science",,Female,"International (visa holders)",,"Power User [... plus programming/analytics]",Laptop,2019,13'',,"1 year",,"Built-in to my computer",Fair,Other,"HP Spectre",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"16 GB","1 TB","100 GB - 500 GB",No,,,,,,,,No,Yes,No,,Yes,iPhone,,"iPhone 11",,Yes,"Apple Watch",,"Apple Watch 3",,"Fully Online","Somewhat confident","300 - 500 Mbps",Good,"Neither likely nor unlikely",Maybe,Complete
154,,"2020-06-22 12:32:41",Sophomore,,Mathematics,,Male,"Asian American",,"Standard User [document writing/email/web]",Laptop,2019,15'',,No,,"Built-in to my computer",Good,Other,"Dell G5 ",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"16 GB","512 GB","500 GB - 1 TB",No,,,,,,,,No,No,No,,Yes,iPhone,,"iPhone X Series",,No,,,,,Face-to-Face,"Not confident","100 - 300 Mbps",Average,"Somewhat likely",Yes,Complete
155,,"[not completed]",Freshman,,"Biology and Biochemistry",,Female,Multiracial,,"Standard User [document writing/email/web]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
156,,"2020-06-22 12:30:24",Junior,,Mathematics,,Male,White,,"Power User [... plus programming/analytics]",Laptop,2016,15'',,No,,"Built-in to my computer",Good,Other,"HP Probook 455 G3",Own,,"Windows OS",,"Windows 10 Home",,"AMD Ryzen",,"16 GB","1 TB","100 GB - 500 GB",Yes,Cloud,,,"Microsoft OneDrive",,Other,Yes,No,Yes,No,,Yes,iPhone,,Other,"iPhone 6",No,,,,,Face-to-Face,"Very confident","< 100 Mbps",Good,"Somewhat unlikely",Maybe,Complete
157,,"2020-06-22 12:27:22",Sophomore,,"Biology and Biochemistry",,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2013,13'',,No,,"Built-in to my computer",Fair,"Apple Macbook Pro",,Own,,"Mac OS",,"High Sierra",,"Intel Core i5",,"> 32 GB","256 GB","100 GB - 500 GB",No,,,,,,,,No,Yes,No,,Yes,iPhone,,"iPhone 8",,No,,,,,Hybrid/Blended,"Not confident","100 - 300 Mbps",Poor,"Somewhat unlikely",No,Complete
158,,"2020-06-22 12:30:10",Senior,,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2017,15'',,"3 year",,"Built-in to my computer",Excellent,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,"Intel Core i7",,"16 GB","512 GB","100 GB - 500 GB",Yes,Cloud,,,"Apple iCloud",,Monthly,Yes,No,Yes,No,,Yes,iPhone,,"iPhone 11",,No,,,,,"Fully Online","Very confident","> 500 Mbps",Excellent,"Somewhat unlikely",Maybe,Complete
159,,"2020-06-22 12:28:13","Doctoral Student (PhD)",,"Earth and Atmospheric Sciences",,Male,"International (visa holders)",,"Power User [... plus programming/analytics]",Desktop,2014,17'',,No,,No,Average,Other,"Dell Inspiron 3847","University property",,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"16 GB","1 TB","500 GB - 1 TB",No,,,,,,,,No,No,No,,Yes,iPhone,,"iPhone 11",,No,,,,,Hybrid/Blended,Neutral,"< 100 Mbps",Fair,"Somewhat unlikely",No,Complete
160,,"2020-06-22 12:31:06",Sophomore,,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2016,13'',,No,,"Built-in to my computer",Average,"Microsoft Surface",,Other,"shared/family laptop","Windows OS",,"Windows 10 Home",,"Intel Core i7",,"32 GB","128 GB","< 100 GB",No,,,,,,,,Yes,No,No,,Yes,Samsung,,"Samsung Galaxy",,No,,,,,Face-to-Face,"Not confident","< 100 Mbps",Fair,"Very likely",No,Complete
161,,"[not completed]",Freshman,,"Biology and Biochemistry",,Female,"African American",,"Standard User [document writing/email/web]",Laptop,2020,13'',,No,,"Built-in to my computer",Good,"Apple Macbook Air",,Own,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
162,,"[not completed]","Doctoral Student (PhD)",,"Biology and Biochemistry",,Male,"International (visa holders)",,"Standard User [document writing/email/web]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
163,,"2020-06-22 12:41:08",Freshman,,"Computer Science",,Male,"International (visa holders)",,"Power User [... plus programming/analytics]",Laptop,2019,15'',,Other,2,"Built-in to my computer",Excellent,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,"Intel Core i7",,"16 GB","512 GB","< 100 GB",No,,,,,,,,No,Yes,Yes,No,Yes,iPhone,,"iPhone X Series",,No,,,,,"Fully Online","Very confident","100 - 300 Mbps",Excellent,"Very unlikely",Maybe,Complete
164,,"2020-06-22 12:30:49","Masters Student (MS)",,Mathematics,,Female,White,,"Standard User [document writing/email/web]",Laptop,2014,13'',,No,,"Built-in to my computer",Good,"Apple Macbook Air",,Own,,"Mac OS",,Catalina,,"Intel Core i5",,"4 GB","128 GB","< 100 GB",Yes,"External backup disk",Seagate,,,,Monthly,No,No,No,No,,Yes,iPhone,,Other,"iPhone 6",No,,,,,"Fully Online",Neutral,"< 100 Mbps",Good,"Very unlikely",No,Complete
165,,"2020-06-22 12:30:27","Post-Baccalaureate (second degree)",,"Computer Science",,Male,White,,"Power User [... plus programming/analytics]",Laptop,2013,13'',,No,,"Built-in to my computer",Fair,"Apple Macbook Pro",,Own,,"Mac OS",,Mojave,,"Intel Core i5",,"8 GB","256 GB","100 GB - 500 GB",Yes,Cloud,,,"Apple iCloud",,Monthly,Yes,No,No,No,,Yes,iPhone,,Other,"iPhone 6s",No,,,,,"Fully Online","Very confident","100 - 300 Mbps",Excellent,"Very unlikely",Maybe,Complete
166,,"2020-06-22 12:32:01",Freshman,,Physics,,Male,White,,"Standard User [document writing/email/web]",Laptop,2020,15'',,No,,"Built-in to my computer",Excellent,"Apple Macbook Air",,Own,,"Mac OS",,Catalina,,"Intel Core i5",,"8 GB","256 GB","< 100 GB",No,,,,,,,,No,Yes,Yes,Yes,Yes,iPhone,,"iPhone X Series",,Yes,"Apple Watch",,"Apple Watch 5",,Face-to-Face,"Moderately confident","300 - 500 Mbps",Excellent,"Neither likely nor unlikely",Yes,Complete
167,,"2020-06-22 12:29:34",Senior,,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2017,14'',,"1 year",,"Built-in to my computer",Excellent,"Lenovo Yoga",,Own,,"Windows OS",,"Windows 10 Pro",,"Intel Core i7",,"16 GB","256 GB","500 GB - 1 TB",No,,,,,,,,No,No,No,,Yes,iPhone,,"iPhone 8",,No,,,,,Face-to-Face,Neutral,"300 - 500 Mbps",Excellent,"Somewhat unlikely",Maybe,Complete
168,,"2020-06-22 12:32:20",Freshman,,"Biology and Biochemistry",,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2018,13'',,No,,"Built-in to my computer",Fair,"Dell Latitude 5000",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i9",,"4 GB","128 GB","< 100 GB",No,,,,,,,,No,Yes,No,,Yes,iPhone,,"iPhone X Series",,No,,,,,Face-to-Face,"Moderately confident","< 100 Mbps",Fair,"Neither likely nor unlikely",Yes,Complete
169,,"2020-06-22 12:29:24",Junior,,"Biology and Biochemistry",,Female,"International (visa holders)",,"Standard User [document writing/email/web]",Laptop,2016,14'',,No,,"Built-in to my computer",Fair,"Apple Macbook Pro",,Own,,"Mac OS",,Other,"Mac ios","Intel Core i5",,"8 GB","128 GB","< 100 GB",No,,,,,,,,Yes,No,No,,Yes,iPhone,,"iPhone 8",,No,,,,,Hybrid/Blended,"Somewhat confident","< 100 Mbps",Good,"Neither likely nor unlikely",Maybe,Complete
170,,"[not completed]",Junior,,"Biology and Biochemistry",,Female,"International (visa holders)",,"Standard User [document writing/email/web]",Laptop,2018,Other,11,No,,"Built-in to my computer",Good,"Apple Macbook Air",,Own,,"Mac OS",,"High Sierra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
171,,"2020-06-22 12:30:43",Sophomore,,"Biology and Biochemistry",,Male,"Asian American",,"Standard User [document writing/email/web]",Desktop,2019,Other,"24""",No,,No,Good,Other,Custom,Own,,"Windows OS",,"Windows 10 Pro",,"AMD Ryzen",,"16 GB","1 TB","500 GB - 1 TB",No,,,,,,,,No,No,Yes,No,Yes,Samsung,,"Samsung Galaxy",,No,,,,,"Fully Online","Moderately confident","100 - 300 Mbps",Average,"Very unlikely",Maybe,Complete
172,,"[not completed]",Freshman,,"Biology and Biochemistry",,Male,"African American",,"Standard User [document writing/email/web]",Laptop,2019,Other,12.3'',No,,"Built-in to my computer",Excellent,Other,"Google Pixelbook",Own,,"Chrome OS",,Other,83.0.4103.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
173,,"[not completed]","Doctoral Student (PhD)",,"Earth and Atmospheric Sciences",,Male,"International (visa holders)",,"Standard User [document writing/email/web]",Laptop,2016,13'',,"3 year",,"Built-in to my computer",Excellent,"Apple Macbook Air",,Own,,"Mac OS",,"High Sierra",,"Intel Core i5",,"8 GB","128 GB","< 100 GB",Yes,"External backup disk",Seagate,,,,Other,No,No,No,Yes,No,Yes,iPhone,,Other," 7",No,,,,,,,,,,,Incomplete
174,,"2020-06-22 12:36:55","Doctoral Student (PhD)",,Chemistry,,Male,"International (visa holders)",,"Standard User [document writing/email/web]",Laptop,2018,13'',,"1 year",,"Built-in to my computer",Average,"Microsoft Surface",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"8 GB","256 GB","< 100 GB",Yes,Cloud,,,"Microsoft OneDrive",,Daily,Yes,No,Yes,Yes,Yes,Yes,iPhone,,"iPhone X Series",,No,,,,,Face-to-Face,"Very confident","100 - 300 Mbps",Good,"Very unlikely",No,Complete
175,,"2020-06-22 12:39:50",Sophomore,,"Earth and Atmospheric Sciences",,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2018,13'',,No,,"Built-in to my computer",Good,"Microsoft Surface",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"32 GB","256 GB","100 GB - 500 GB",Yes,Cloud,,,"Microsoft OneDrive",,Monthly,No,No,Yes,Yes,No,Yes,iPhone,,"iPhone 11",,No,,,,,Hybrid/Blended,Neutral,"300 - 500 Mbps",Good,"Somewhat unlikely",Maybe,Complete
176,,"2020-06-22 12:35:04",Freshman,,"Biology and Biochemistry",,Male,"International (visa holders)",,"Standard User [document writing/email/web]",Laptop,2018,13'',,"1 year",,"Built-in to my computer",Good,"Apple Macbook Pro",,Own,,"Mac OS",,Other,"Mac OS","Intel Core i9",,"4 GB","128 GB","100 GB - 500 GB",No,,,,,,,,No,No,Yes,No,Yes,iPhone,,"iPhone X Series",,No,,,,,Hybrid/Blended,Neutral,"< 100 Mbps",Fair,"Somewhat unlikely",Yes,Complete
177,,"2020-06-22 12:31:26",Junior,,"Computer Science",,Female,"Asian American",,"Power User [... plus programming/analytics]",Laptop,2018,13'',,No,,"Built-in to my computer",Excellent,Other,"Hp spectre x360",Own,,"Windows OS",,"Windows 10 Pro",,"Intel Core i9",,"16 GB","256 GB","100 GB - 500 GB",No,,,,,,,,No,No,No,,Yes,Samsung,,"Samsung Galaxy",,No,,,,,Hybrid/Blended,"Moderately confident","> 500 Mbps",Good,"Neither likely nor unlikely",Maybe,Complete
178,,"[not completed]",Senior,,"Biology and Biochemistry",,Female,"African American",,"Standard User [document writing/email/web]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
179,,"2020-06-22 12:36:20",Sophomore,,Mathematics,,Male,"Prefer Not to Say",,"Standard User [document writing/email/web]",Laptop,2018,13'',,No,,External,Good,"Apple Macbook Pro",,Own,,"Mac OS",,Other,"Mac os","AMD Ryzen",,"16 GB","128 GB","< 100 GB",No,,,,,,,,No,No,No,,Yes,Other,zuk,Other,z2,No,,,,,"Fully Online","Moderately confident","< 100 Mbps",Good,"Neither likely nor unlikely",Maybe,Complete
180,,"2020-06-22 12:33:22","Masters Student (MS)",,"Biology and Biochemistry",,Female,White,,"Power User [... plus programming/analytics]",Laptop,2017,15'',,No,,"Built-in to my computer",Average,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,"Intel Core i7",,"4 GB","128 GB","100 GB - 500 GB",Yes,Cloud,,,"Google Drive",,Weekly,Yes,No,Yes,Yes,No,Yes,iPhone,,"iPhone X Series",,Yes,"Apple Watch",,Other,series1,Face-to-Face,"Moderately confident","> 500 Mbps",Average,"Very unlikely",Maybe,Complete
181,,"2020-06-22 12:43:24",Senior,,"Computer Science",,Female,Hispanic,,"Power User [... plus programming/analytics]",Laptop,2019,15'',,"1 year",,"Built-in to my computer",Good,Other,"Hp Envy X360 Convertible ",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"8 GB","512 GB","< 100 GB",Yes,Cloud,,,"Microsoft OneDrive",,Daily,Yes,No,Yes,No,,Yes,Samsung,,"Samsung Galaxy",,No,,,,,"Fully Online","Moderately confident","100 - 300 Mbps",Excellent,"Somewhat unlikely",Maybe,Complete
182,,"2020-06-22 12:32:34",Senior,,"Earth and Atmospheric Sciences",,Male,White,,"Power User [... plus programming/analytics]",Laptop,2018,15'',,"1 year",,"Built-in to my computer",Good,"Microsoft Surface",,Own,,"Windows OS",,"Windows 10 Pro",,"Intel Core i7",,"16 GB","256 GB","100 GB - 500 GB",No,,,,,,,,No,No,No,,Yes,iPhone,,"iPhone X Series",,Yes,"Apple Watch",,"Apple Watch 4",,"Fully Online","Somewhat confident","100 - 300 Mbps",Average,"Somewhat likely",Yes,Complete
183,,"2020-06-22 12:38:57",Junior,,"Earth and Atmospheric Sciences",,Male,White,,"Power User [... plus programming/analytics]",Laptop,2017,13'',,No,,"Built-in to my computer",Poor,Other,"Acer N17Q4",Own,,Other,Ubuntu,Other,18.04,Other,i3,"4 GB","128 GB","100 GB - 500 GB",Yes,"External backup disk",Seagate,,,,Monthly,No,No,No,No,,Yes,Samsung,,"Samsung Galaxy",,No,,,,,Hybrid/Blended,"Moderately confident","100 - 300 Mbps",Average,"Somewhat likely",Maybe,Complete
184,,"2020-06-22 12:37:52",Sophomore,,"Biology and Biochemistry",,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2019,13'',,"1 year",,"Built-in to my computer",Excellent,"Apple Macbook Pro",,Own,,"Mac OS",,Other,Safari,"Intel Core i9",,"> 32 GB","128 GB","100 GB - 500 GB",No,,,,,,,,No,Yes,No,,Yes,iPhone,,"iPhone 8",,Yes,"Apple Watch",,"Apple Watch 4",,Face-to-Face,"Somewhat confident","100 - 300 Mbps",Fair,"Neither likely nor unlikely",Maybe,Complete
185,,"[not completed]",Freshman,,"Biology and Biochemistry",,Female,White,,"Standard User [document writing/email/web]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
186,,"2020-06-22 12:38:40","Doctoral Student (PhD)",,"Earth and Atmospheric Sciences",,Male,White,,"Power User [... plus programming/analytics]",Desktop,2012,Other,21,No,,"Built-in to my computer",Poor,Other,"iMac 2012","University property",,"Windows OS",,"Windows 10 Pro",,"Intel Core i5",,"16 GB","1 TB","100 GB - 500 GB",Yes,Cloud,,,"Google Drive",,Daily,Yes,No,Yes,No,,Yes,iPhone,,"iPhone X Series",,Yes,"Apple Watch",,"Apple Watch 5",,"Fully Online","Very confident","100 - 300 Mbps",Excellent,"Very unlikely",Maybe,Complete
187,,"[not completed]",Senior,,"Earth and Atmospheric Sciences",,Female,White,,"Standard User [document writing/email/web]",Laptop,2015,15'',,No,,"Built-in to my computer",Good,Other,"HP pavilion",Own,,"Windows OS",,"Windows 10 Home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
188,,"2020-06-22 12:46:26",Freshman,,"Biology and Biochemistry",,Female,White,,"Standard User [document writing/email/web]",Laptop,2018,17'',,"3 year",,"Built-in to my computer",Good,"Lenovo Yoga",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"8 GB","256 GB","100 GB - 500 GB",No,,,,,,,,No,Yes,No,,Yes,iPhone,,"iPhone 8",,Yes,Fitbit,,"Fitbit Versa",,Hybrid/Blended,"Somewhat confident","> 500 Mbps",Excellent,"Somewhat likely",Yes,Complete
189,,"2020-06-22 12:35:24",Freshman,,"Biology and Biochemistry",,Male,"Asian American",,"Standard User [document writing/email/web]",Laptop,2020,13'',,No,,"Built-in to my computer",Excellent,"Apple Macbook Pro",,Own,,"Mac OS",,"High Sierra",,"Intel Core i9",,"4 GB","128 GB","100 GB - 500 GB",Yes,Cloud,,,"Apple iCloud",,Daily,Yes,No,Yes,Yes,No,Yes,iPhone,,"iPhone X Series",,Yes,"Apple Watch",,"Apple Watch 3",,Face-to-Face,"Very confident","300 - 500 Mbps",Good,"Somewhat unlikely",Yes,Complete
190,,"[not completed]",Senior,,"Biology and Biochemistry",,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2019,13'',,No,,"Built-in to my computer",Fair,Other,"Lenovo chromebook c340",Own,,"Chrome OS",,Other,"Chrome os",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
